Case_ID,Cube,Test_Case_Name,Column,Position,Order,Filter,Result,Transfer Result
37,Technopedia: Hardware,smoke_test1,HW Model,row,1,base,32.64,Passed
38,Normalize: IT Security,smoke_test2,HW Distinct Product Count,row,1,base,0.57,Passed
39,Technopedia: Hardware Procurement,smoke_test3,HW Model,row,1,base,Timeout,Failed
40,Normalize: IT Assets,smoke_test4,SW Family,row,1,base,Cube Open Issue,Failed
41,Normalize: IT Security,smoke_test5,HW Distinct Product Count,measure,1,base,0.05,Passed
42,Normalize: IT Security,smoke_test6,INV ID,row,1,base,0.59,Passed
43,Technopedia: Hardware Security,smoke_test7,HW CPE Part,row,1,base,0.58,Passed
44,Technopedia: Hardware Procurement,smoke_test8,HW Lic CPU Model,row,1,base,0.04,Passed
45,Normalize: IT Assets,smoke_test9,OS Family,row,1,base,0.04,Passed
46,Normalize: IT Assets,smoke_test10,OS Edition,row,1,base,0.04,Passed